State,City,IBGE Code,Reason,Form,Name,code,Sampling Date,Sampling Loc,Zone,2.4 D + 2.4.5 T  VMP: 30.0 µg/L,Alaclor  VMP: 20.0 µg/L,Aldicarbe + Aldicarbesulfona + Aldicarbesulfóxido  VMP: 10.0 µg/L,Aldrin + Dieldrin  VMP: 0.03 µg/L,Atrazina  VMP: 2.0 µg/L,Carbendazim + benomil  VMP: 120.0 µg/L,Carbofurano  VMP: 7.0 µg/L,Clordano  VMP: 0.2 µg/L,Clorpirifós + clorpirifósoxon  VMP: 30.0 µg/L,DDT + DDD + DDE  VMP: 1.0 µg/L,Diuron  VMP: 90.0 µg/L,Endossulfan (α. β e sais)  VMP: 20.0 µg/L,Endrin  VMP: 0.6 µg/L,Glifosato + AMPA  VMP: 500.0 µg/L,Lindano (gama HCH)  VMP: 2.0 µg/L,Mancozebe  VMP: 180.0 µg/L,Metamidofós  VMP: 12.0 µg/L,Metolacloro  VMP: 10.0 µg/L,Molinato  VMP: 6.0 µg/L,Parationa Metílica  VMP: 9.0 µg/L,Pendimentalina  VMP: 20.0 µg/L,Permetrina  VMP: 20.0 µg/L,Profenofós  VMP: 60.0 µg/L,Simazina  VMP: 2.0 µg/L,Tebuconazol  VMP: 180.0 µg/L,Terbufós  VMP: 1.2 µg/L,Trifluralina  VMP: 20.0 µg/L
AL,MACEIO,270430,Rotina,SAA,SAA MACEIO SOLARIS I,S270430000056,17/08/2016,Reservatório de distribuição,Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,MACEIO,270430,Rotina,SAA,SAA MACEIO SOLARIS I,S270430000056,17/08/2016,Torneira antes da reservação,Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,MACEIO,270430,Rotina,SAC,SAC MACEIO IGAL TRANSPORTES,C270430000027,24/08/2016,POÇO ARTESIANO - Ponto 1,Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,MACEIO,270430,Rotina,SAC,SAC MACEIO H2OF,C270430000020,24/08/2016,POÇO ARTESIANO - Ponto 1,Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,MACEIO,270430,Rotina,SAC,SAC MACEIO MANANCIAL,C270430000016,24/08/2016,POÇO ARTESIANO - Ponto 1,Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,MACEIO,270430,Rotina,SAC,SAC MACEIO AGUA VIVA,C270430000014,24/08/2016,POÇO ARTESIANO - Ponto 1,Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,MACEIO,270430,Rotina,SAA,SAA MACEIO AMORJAC,S270430000055,24/08/2016,Torneira após a reservação,Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,MACEIO,270430,Rotina,SAA,SAA MACEIO CHACARAS DA LAGOA,S270430000114,10/08/2016,POÇO ARTESIANO - Ponto 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,MACEIO,270430,Rotina,SAA,SAA MACEIO CHACARAS DA LAGOA,S270430000114,10/08/2016,POÇO ARTESIANO - Ponto 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,MACEIO,270430,Rotina,SAA,SAA MACEIO CHACARAS DA LAGOA,S270430000114,10/08/2016,POÇO ARTESIANO - Ponto 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,MACEIO,270430,Rotina,SAA,SAA MACEIO DOM ADELMO MACHADO,S270430000118,10/08/2016,POÇO ARTESIANO - Ponto 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,MACEIO,270430,Rotina,SAA,SAA MACEIO DOM ADELMO MACHADO,S270430000118,10/08/2016,POÇO ARTESIANO - Ponto 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,PALMEIRA DOS INDIOS,270630,Rotina,SAA,SAA DE PALMEIRA DOS INDIOS,S270630000001,15/08/2016,BARRAGEM-CARANGUEJA,,0,0,,0,0,,,,,0,,0,0,,0,,0,0,,0,0,,0,,,0,
AL,PALMEIRA DOS INDIOS,270630,Rotina,SAA,SAA DE PALMEIRA DOS INDIOS,S270630000001,15/08/2016,Saída de tratamento/pós-desinfecção,,0,0,,0,0,,,,,0,,0,0,,0,,0,0,,0,0,,0,,,0,
AL,ESTRELA DE ALAGOAS,270255,Rotina,SAA,SAA DE ESTRELA DE ALAGOAS,S270255000001,15/08/2016,Saída de tratamento/pós-desinfecção,,0,0,,0,0,,,,,0,,0,0,,0,,0,0,,0,0,,0,,,0,
AL,ESTRELA DE ALAGOAS,270255,Rotina,SAA,SAA DE ESTRELA DE ALAGOAS,S270255000001,15/08/2016,BARRAGEM-RIACHO DA LIMEIRA,,0,0,,0,0,,,,,0,,0,0,,0,,0,0,,0,0,,0,,,0,
AL,COITE DO NOIA,270200,Rotina,SAC,SAC DE COITE DO NOIA POVOADO OLHO DAGUA DE BAIXO,C270200000002,15/08/2016,Chafariz,Rural,0,0,,0,0,,,,,0,,0,0,,0,,0,0,,0,0,,0,,,0,
AL,COITE DO NOIA,270200,Rotina,SAC,SAC DE COITE DO NOIA POVOADO OLHO DAGUA DE BAIXO,C270200000002,15/08/2016,BARRAGEM-NASCENTE OLHO DAGUA,Rural,0,0,,0,0,,,,,0,,0,0,,0,,0,0,,0,0,,0,,,0,
AL,MACEIO,270430,Rotina,SAC,SAC MACEIO IGAL TRANSPORTES,C270430000027,04/09/2017,POÇO ARTESIANO - Ponto 1,Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,MACEIO,270430,Rotina,SAA,SAA MACEIO MORADA DOS VENTOS,S270430000082,06/09/2017,POÇO ARTESIANO - Ponto 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,MACEIO,270430,Rotina,SAA,SAA MACEIO LAPIDUS,S270430000077,06/09/2017,POÇO ARTESIANO - Ponto 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,MACEIO,270430,Rotina,SAA,SAA MACEIO RESIDENCIAL MIRANTE DA LAGOA,S270430000179,11/09/2017,POÇO ARTESIANO - Ponto 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,MACEIO,270430,Rotina,SAA,SAA MACEIO JARDINS DE LA REINA,S270430000116,11/09/2017,POÇO ARTESIANO - Ponto 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,MACEIO,270430,Rotina,SAA,SAA MACEIO JARDINS DE LA REINA,S270430000116,11/09/2017,POÇO ARTESIANO - Ponto 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,MACEIO,270430,Rotina,SAA,SAA MACEIO DOM ADELMO MACHADO,S270430000118,04/09/2017,POÇO ARTESIANO - Ponto 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,MACEIO,270430,Rotina,SAA,SAA MACEIO ERICH FROMM,S270430000088,06/09/2017,POÇO ARTESIANO - Ponto 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,MACEIO,270430,Rotina,SAA,SAA MACEIO MICHELANGELO,S270430000089,06/09/2017,POÇO ARTESIANO - Ponto 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,MACEIO,270430,Rotina,SAA,SAA MACEIO RUI PALMEIRA 5B 6B,S270430000113,18/09/2017,POÇO ARTESIANO - Ponto 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,MACEIO,270430,Rotina,SAA,SAA MACEIO VILLAGIO DI FIRENZE,S270430000128,18/09/2017,POÇO ARTESIANO - Ponto 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,MACEIO,270430,Rotina,SAA,SAA MACEIO MARAVILHA,S270430000075,20/09/2017,POÇO ARTESIANO - Ponto 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,MACEIO,270430,Rotina,SAA,SAA MACEIO DOM AVELAR,S270430000084,20/09/2017,POÇO ARTESIANO - Ponto 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,MACEIO,270430,Rotina,SAA,SAA MACEIO BENEDITO BENTES,S270430000083,20/09/2017,POÇO ARTESIANO - Ponto 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,MACEIO,270430,Rotina,SAC,SAC MACEIO DISK AGUA,C270430000015,25/09/2017,POÇO ARTESIANO - Ponto 1,Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,MACEIO,270430,Rotina,SAC,SAC MACEIO H2OF,C270430000020,25/09/2017,POÇO ARTESIANO - Ponto 1,Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,MACEIO,270430,Rotina,SAC,SAC MACEIO CASA VIEIRA MANGABEIRAS,C270430000091,25/09/2017,POÇO ARTESIANO - Ponto 1,Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,MACEIO,270430,Rotina,SAA,SAA MACEIO RESIDENCIAL SAN FRANCISCO,S270430000187,18/09/2017,POÇO ARTESIANO - RSF-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,MACEIO,270430,Rotina,SAA,SAA MACEIO RESIDENCIAL SAN FRANCISCO,S270430000187,04/09/2017,POÇO ARTESIANO - RSF-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,MACEIO,270430,Rotina,SAA,SAA MACEIO AMORJAC,S270430000055,02/10/2017,POÇO ARTESIANO - Ponto 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,MACEIO,270430,Rotina,SAC,SAC MACEIO MOTEL CHALE SUICO,C270430000028,02/10/2017,POÇO ARTESIANO - Ponto 1,Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,MACEIO,270430,Rotina,SAC,SAC MACEIO UNIT CENTRO UNIVERSITARIO TIRADENTES,C270430000090,02/10/2017,POÇO ARTESIANO - Ponto 1,Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,MACEIO,270430,Rotina,SAA,SAA MACEIO VILAS DA LAGOA,S270430000115,27/09/2017,POÇO ARTESIANO - Ponto 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,MACEIO,270430,Rotina,SAA,SAA MACEIO JARDINS DE LA REINA,S270430000116,27/09/2017,Reservatório de água,Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,MACEIO,270430,Rotina,SAA,SAA MACEIO CHACARAS DA LAGOA,S270430000114,27/09/2017,POÇO ARTESIANO - Ponto 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM,MANAUS,130260,Rotina,SAC,ESCOLA ESTADUAL DE TEMPO INTEGRAL GABRIELLE COGELS,C130260000054,13/01/2014,POÇO ARTESIANO - Ponto 1,Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM,MANAUS,130260,Rotina,SAC,ESCOLA ESTADUAL PROFESSORA  MYRTHES MARQUES TRIGUEIRO,C130260000011,20/01/2014,POÇO FREÁTICO (RASO) - Ponto 1,Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM,MANAUS,130260,Rotina,SAC,ESCOLA ESTADUAL PROFESSORA EUNICE SERRANO,C130260000029,20/01/2014,POÇO ARTESIANO - Ponto 1,Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM,MANAUS,130260,Rotina,SAC,CENTRO DE ATENÇÃO INTEGRAL À CRIANÇA DR EDSON MELO,C130260000032,06/01/2014,POÇO FREÁTICO (RASO) - Ponto 1,Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM,MANAUS,130260,Rotina,SAI,RESIDENCIA SRA. IZAMAR,I130260000008,30/06/2014,POÇO FREÁTICO (RASO) - Ponto 1,Rural,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM,MANAUS,130260,Rotina,SAI,RESIDÊNCIA SR. MARIO NELSON,I130260000009,30/06/2014,POÇO FREÁTICO (RASO) - Ponto 1,Rural,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM,MANAUS,130260,Rotina,SAI,RESIDENCIA SR. MARCOS,I130260000010,30/06/2014,POÇO FREÁTICO (RASO) - Ponto 1,Rural,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM,MANAUS,130260,Rotina,SAI,RESIDENCIA DO SR. PEDRO MACIEL DE OLIVEIRA,I130260000011,30/06/2014,POÇO FREÁTICO (RASO) - Ponto 1,Rural,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM,MANAUS,130260,Rotina,SAI,RESIDENCIA DA SRA. IZANEIDE OLIVEIRA DA SILVA,I130260000012,01/07/2014,POÇO FREÁTICO (RASO) - Ponto 1,Rural,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM,MANAUS,130260,Rotina,SAI,RESIDENCIA DA SRA.  AUCELI TABOSA,I130260000013,30/06/2014,POÇO FREÁTICO (RASO) - Ponto 1,Rural,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM,MANAUS,130260,Rotina,SAI,RESIDENCIA DO SR. OYAMA PRAIA DE SOUZA,I130260000014,30/06/2014,POÇO FREÁTICO (RASO) - Ponto 1,Rural,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM,MANAUS,130260,Rotina,SAI,RESIDÊNCIA  DO SR. ALOISIO PEREIRA,I130260000017,01/07/2014,POÇO FREÁTICO (RASO) - Ponto 1,Rural,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM,MANAUS,130260,Rotina,SAI,RESIDÊNCIA DO SR. JÚLIO ,I130260000018,02/07/2014,POÇO FREÁTICO (RASO) - Ponto 1,Rural,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM,MANAUS,130260,Rotina,SAI,RESIDENCIA DO SR. NAPOLEÃO VIANA FURTADO,I130260000019,30/06/2014,POÇO FREÁTICO (RASO) - Ponto 1,Rural,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM,MANAUS,130260,Rotina,SAI,RESIDENCIA DA SRA.  AUCELI TABOSA,I130260000013,12/05/2014,POÇO FREÁTICO (RASO) - Ponto 1,Rural,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM,NOVO AIRAO,130320,Rotina,SAA,COMPANHIA DE SANEAMENTO DE NOVO AIRAO,S130320000001,24/02/2014,POÇO FREÁTICO (RASO) - PT 04,,0,0,,0,,,,,,0,,0,0,,0,,0,,,0,0,0,,,,0,0
AM,NOVO AIRAO,130320,Rotina,SAA,COMPANHIA DE SANEAMENTO DE NOVO AIRAO,S130320000001,24/02/2014,POÇO ARTESIANO - PT 02,,,,,0,,,,,,0,,0,0,,0,,,,,0,0,,,,,0,0
AM,ITACOATIARA,130190,Rotina,SAI,SÍTIO SÃO JOSÉ ,I130190000001,27/02/2014,POÇO FREÁTICO (RASO) - Ponto 1,Rural,0,0,,0,,,,,,0,,0,0,,0,,0,,,0,0,0,,,,0,0
AM,MANAUS,130260,Rotina,SAC,ESCOLA ESTADUAL PADRE PEDRO GISLANDY,C130260000181,15/04/2015,POÇO FREÁTICO (RASO) - Ponto 1,Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM,MANAUS,130260,Rotina,SAC,ESCOLA ESTADUAL ELDAH BITTON TELLES DA ROCHA,C130260000123,22/04/2015,POÇO FREÁTICO (RASO) - Ponto 1,Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM,MANAUS,130260,Rotina,SAC,ESCOLA ESTADUAL WALDOMIRO PERES LUSTOZA,C130260000125,22/04/2015,POÇO FREÁTICO (RASO) - Ponto 1,Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM,MANAUS,130260,Rotina,SAC,COLÉGIO MILITAR DA POLÍCIA MILITAR AUREA PINHEIRO BRAGA,C130260000090,15/04/2015,POÇO ARTESIANO - Ponto 1,Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM,MANAUS,130260,Rotina,SAC,CENTRO EDUCACIONAL BERENICE MARTINS,C130260000055,22/04/2015,POÇO ARTESIANO - Ponto 1,Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM,MANAUS,130260,Rotina,SAC,ESCOLA ESTADUAL NATHÁLIA UCHÔA,C130260000239,30/09/2015,POÇO FREÁTICO (RASO) - Ponto 1,Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM,MANAUS,130260,Rotina,SAC,ESCOLA ESTADUAL ENGENHEIRO ARTHUR SOARES AMORIM,C130260000205,15/12/2015,POÇO FREÁTICO (RASO) - Ponto 1,Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM,MANAUS,130260,Rotina,SAC,ESCOLA ESTADUAL MARIA DO CÉU VAZ D'OLIVEIRA,C130260000208,15/12/2015,POÇO FREÁTICO (RASO) - Ponto 1,Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM,AUTAZES,130030,Rotina,SAA,SISTEMA DE ABASTECIMENTO DE ÁGUA DE AUTAZES,S130030000001,01/12/2015,Torneira após a reservação,Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM,MANAUS,130260,Rotina,SAC,EMPRESA DE TECNOLOGIA E INFORMAÇÕES DA PREVIDÊNCIA SOCIAL - DATAPREV,C130260000570,12/01/2016,Torneira após a reservação,Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM,MANAUS,130260,Rotina,SAC,ESCOLA ESTADUAL ANGELO RAMAZZOTTI,C130260000177,05/01/2016,POÇO FREÁTICO (RASO) - Ponto 1,Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM,MANAUS,130260,Rotina,SAC,ESCOLA ESTADUAL NELSON ALVES FERREIRA,C130260000106,05/01/2016,POÇO FREÁTICO (RASO) - Ponto 1,Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM,MANAUS,130260,Rotina,SAC,ESCOLA ESTADUAL CÔNEGO AZEVEDO,C130260000052,11/01/2016,POÇO FREÁTICO (RASO) - Ponto 1,Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM,MANAUS,130260,Rotina,SAC,ESCOLA ESTADUAL NOSSA SENHORA APARECIDA,C130260000053,11/01/2016,POÇO FREÁTICO (RASO) - Ponto 1,Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM,MANAUS,130260,Rotina,SAC,ESCOLA ESTADUAL CARVALHO LEAL,C130260000064,12/01/2016,POÇO ARTESIANO - Ponto 1,Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM,MANAUS,130260,Rotina,SAC,ESCOLA ESTADUAL EUCLIDES DA CUNHA,C130260000065,12/01/2016,POÇO FREÁTICO (RASO) - Ponto 1,Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM,MANAUS,130260,Rotina,SAC,ESCOLA ESTADUAL RUY ARAÚJO,C130260000066,12/01/2016,POÇO FREÁTICO (RASO) - Ponto 1,Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM,MANAUS,130260,Rotina,SAC,ESCOLA ESTADUAL MANOEL MARCAL DE ARAUJO,C130260000067,12/01/2016,POÇO FREÁTICO (RASO) - Ponto 1,Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM,MANAUS,130260,Rotina,SAC,ESCOLA ESTADUAL AUGUSTO CARNEIRO DOS SANTOS,C130260000024,26/01/2016,POÇO FREÁTICO (RASO) - Ponto 1,Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM,MANAUS,130260,Rotina,SAC,ESCOLA ESTADUAL BARÃO DO RIO BRANCO,C130260000023,26/01/2016,POÇO FREÁTICO (RASO) - Ponto 1,Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM,MANAUS,130260,Rotina,SAC,ESCOLA ESTADUAL NILO PEÇANHA,C130260000044,26/01/2016,POÇO FREÁTICO (RASO) - Ponto 1,Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM,MANAUS,130260,Rotina,SAC,ESCOLA ESTADUAL PROFESSOR FRANCISCO DAS CHAGAS DE SOUZA ALBUQUERQUE,C130260000021,26/01/2016,POÇO FREÁTICO (RASO) - Ponto 1,Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM,MANAUS,130260,Rotina,SAC,ESCOLA ESTADUAL SANTA LUZIA,C130260000045,26/01/2016,Torneira após a reservação,Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM,MANAUS,130260,Rotina,SAC,COLÉGIO AMAZONENSE DOM PEDRO II,C130260000046,19/01/2016,POÇO FREÁTICO (RASO) - Ponto 1,Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM,MANAUS,130260,Rotina,SAC,COLÉGIO BRASILEIRO PEDRO SILVESTRE,C130260000043,19/01/2016,POÇO FREÁTICO (RASO) - Ponto 1,Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM,MANAUS,130260,Rotina,SAC,ESCOLA ESTADUAL PROFESSOR DIOFANTO VIEIRA MONTEIRO,C130260000019,19/01/2016,POÇO ARTESIANO - Ponto 1,Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM,MANAUS,130260,Rotina,SAC,ESCOLA ESTADUAL FARIAS BRITO,C130260000020,19/01/2016,POÇO FREÁTICO (RASO) - Ponto 1,Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM,MANAUS,130260,Rotina,SAC,ESCOLA ESTADUAL FREI SÍLVIO VAGHEGGI,C130260000017,19/01/2016,Torneira após a reservação,Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM,MANAUS,130260,Rotina,SAC,ESCOLA ESTADUAL PRINCESA ISABEL,C130260000010,18/01/2016,POÇO ARTESIANO - Ponto 1,Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM,MANAUS,130260,Rotina,SAC,ESCOLA ESTADUAL PROFESSORA EUNICE SERRANO TELLES DE SOUZA,C130260000029,18/01/2016,POÇO FREÁTICO (RASO) - Ponto 1,Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM,MANAUS,130260,Rotina,SAC,ESCOLA ESTADUAL RIBEIRO DA CUNHA,C130260000027,18/01/2016,POÇO ARTESIANO - Ponto 1,Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM,MANAUS,130260,Rotina,SAC,INSTITUTO DE EDUCAÇÃO DO AMAZONAS,C130260000014,18/01/2016,POÇO FREÁTICO (RASO) - Ponto 1,Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,,
